id,name,city_zone,type,opened,daily_passengers,latitude,longitude,accessible,connected_to,edge_weight,edge_type
stn_092,Market Terminal,zone_4,tram,1961-03-16,1066,44.91356,20.49245,0,stn_014;stn_093;stn_102,11,direct
stn_093,Harbor Stop,zone_1,bus_terminal,2019-01-10,36036,44.92224,20.49211,0,stn_094;stn_103;stn_150,5,transfer
stn_094,Airport Hub,zone_2,rail,2013-05-10,959,44.93316,20.4907,1,stn_095;stn_104;stn_106,4,transfer
stn_095,Stadium Junction,zone_3,light_rail,1963-07-20,56973,44.94453,20.4901,1,stn_096;stn_105;stn_182,2,direct
stn_096,University Depot,zone_4,metro,1979-06-20,46541,44.95373,20.49053,0,stn_058;stn_097;stn_106,19,transfer
stn_097,Hill Square,zone_1,tram,2000-07-19,22995,44.96315,20.49472,1,stn_084;stn_098;stn_107,21,express
stn_098,Bridge Cross,zone_2,bus_terminal,2019-01-26,16946,44.97246,20.49276,0,stn_041;stn_099;stn_108,5,transfer
stn_099,Square End,zone_3,rail,2005-07-28,50145,44.984,20.49199,1,stn_029;stn_100;stn_109,8,express
stn_100,Gate Park,zone_4,light_rail,1980-07-09,57034,44.992,20.4904,0,stn_015;stn_101;stn_110,8,transfer
stn_101,North Station,zone_1,metro,1985-12-21,22882,44.80417,20.50297,0,stn_030;stn_102;stn_111,6,transfer
stn_102,South Terminal,zone_2,tram,2020-03-31,61271,44.8122,20.50268,1,stn_103;stn_112;stn_158,9,express
stn_103,East Stop,zone_3,bus_terminal,2016-09-18,19536,44.82445,20.50279,0,stn_104;stn_113;stn_186,7,direct
stn_104,West Hub,zone_4,rail,1952-05-30,32414,44.83486,20.50022,1,stn_105;stn_114;stn_122,17,direct
stn_105,Central Junction,zone_1,light_rail,1988-02-03,6386,44.84387,20.50095,1,stn_106;stn_115;stn_177,14,transfer
stn_106,Old Depot,zone_2,metro,1985-11-29,81522,44.8508,20.50386,1,stn_045;stn_107;stn_116,17,transfer
stn_107,New Square,zone_3,tram,2017-08-26,75189,44.86197,20.50195,0,stn_108;stn_117;stn_173,9,express
stn_108,Upper Cross,zone_4,bus_terminal,2022-01-09,87609,44.87368,20.50282,1,stn_033;stn_109;stn_118,9,direct
stn_109,Lower End,zone_1,rail,1968-05-10,5912,44.88019,20.50008,1,stn_106;stn_110;stn_119,10,express
stn_110,River Park,zone_2,light_rail,1986-01-27,66930,44.89066,20.5048,0,stn_041;stn_111;stn_120,7,direct
stn_111,Park Station,zone_3,metro,1994-03-03,64974,44.90293,20.50224,0,stn_110;stn_112;stn_121,23,direct
stn_112,Market Terminal,zone_4,tram,1955-05-18,93982,44.91399,20.5032,0,stn_113;stn_122;stn_148,6,transfer
stn_113,Harbor Stop,zone_1,bus_terminal,2014-11-30,15699,44.92014,20.50351,0,stn_067;stn_114;stn_123,20,express
stn_114,Airport Hub,zone_2,rail,1991-10-04,63744,44.93018,20.50414,0,stn_115;stn_124;stn_182,12,transfer
stn_115,Stadium Junction,zone_3,light_rail,1974-11-09,66260,44.94263,20.50074,0,stn_055;stn_116;stn_125,16,express
stn_116,University Depot,zone_4,metro,2021-03-16,3061,44.95089,20.50033,0,stn_117;stn_126;stn_177,25,express
stn_117,Hill Square,zone_1,tram,2012-05-19,63187,44.96481,20.50333,1,stn_118;stn_127;stn_191,18,direct
stn_118,Bridge Cross,zone_2,bus_terminal,1950-03-05,79934,44.97359,20.50034,0,stn_119;stn_128;stn_135,16,transfer
stn_119,Square End,zone_3,rail,1955-10-18,78808,44.98033,20.50263,0,stn_120;stn_129;stn_132,19,direct
stn_120,Gate Park,zone_4,light_rail,1967-03-24,74616,44.99457,20.50366,1,stn_121;stn_130;stn_200,6,transfer
stn_121,North Station,zone_1,metro,2006-01-23,27720,44.8036,20.51444,1,stn_122;stn_131;stn_168,11,express
stn_122,South Terminal,zone_2,tram,1962-10-20,59536,44.81314,20.51318,0,stn_002;stn_123;stn_132,19,direct
stn_123,East Stop,zone_3,bus_terminal,1962-07-20,32315,44.8229,20.51469,0,stn_012;stn_124;stn_133,4,direct
stn_124,West Hub,zone_4,rail,1995-03-16,57117,44.83256,20.51085,1,stn_106;stn_125;stn_134,18,direct
stn_125,Central Junction,zone_1,light_rail,1972-01-15,41277,44.84143,20.51386,0,stn_057;stn_126;stn_135,21,transfer
stn_126,Old Depot,zone_2,metro,1959-08-02,58790,44.85229,20.51357,0,stn_127;stn_136;stn_176,11,express
stn_127,New Square,zone_3,tram,1973-09-11,3467,44.8636,20.51232,0,stn_120;stn_128;stn_137,10,express
stn_128,Upper Cross,zone_4,bus_terminal,2000-04-01,36926,44.87303,20.51456,0,stn_129;stn_138;stn_183,11,express
stn_129,Lower End,zone_1,rail,2009-05-29,76844,44.88064,20.51165,1,stn_130;stn_139;stn_186,25,transfer
stn_130,River Park,zone_2,light_rail,1951-08-12,91512,44.892,20.5105,0,stn_062;stn_131;stn_140,18,transfer
stn_131,Park Station,zone_3,metro,1979-06-14,58745,44.90014,20.51423,0,stn_132;stn_141;stn_194,6,direct
stn_132,Market Terminal,zone_4,tram,1959-10-27,48622,44.91042,20.51382,0,stn_114;stn_133;stn_142,21,transfer
stn_133,Harbor Stop,zone_1,bus_terminal,2016-12-15,75436,44.92243,20.51286,0,stn_072;stn_134;stn_143,4,transfer
stn_134,Airport Hub,zone_2,rail,1991-11-10,67852,44.93358,20.51479,1,stn_135;stn_144;stn_170,19,transfer
stn_135,Stadium Junction,zone_3,light_rail,1999-08-13,46003,44.9404,20.51203,1,stn_136;stn_145,15,direct
stn_136,University Depot,zone_4,metro,1957-05-18,78830,44.95105,20.5117,0,stn_076;stn_137;stn_146,11,express
stn_137,Hill Square,zone_1,tram,2001-06-25,21049,44.96037,20.51292,1,stn_053;stn_138;stn_147,12,transfer
stn_138,Bridge Cross,zone_2,bus_terminal,1975-08-03,88417,44.97209,20.51099,0,stn_139;stn_148;stn_172,12,express
stn_139,Square End,zone_3,rail,1959-04-13,76569,44.98268,20.51151,0,stn_126;stn_140;stn_149,18,transfer
stn_140,Gate Park,zone_4,light_rail,1977-06-08,59938,44.99487,20.51236,0,stn_016;stn_141;stn_150,25,express
stn_141,North Station,zone_1,metro,1988-04-05,68998,44.80036,20.52306,0,stn_106;stn_142;stn_151,5,transfer
stn_142,South Terminal,zone_2,tram,2007-07-14,16809,44.81301,20.52345,1,stn_143;stn_152;stn_164,11,express
stn_143,East Stop,zone_3,bus_terminal,1950-12-17,40285,44.82473,20.5201,0,stn_144;stn_153;stn_184,22,express
stn_144,West Hub,zone_4,rail,1997-04-14,43886,44.83019,20.52146,1,stn_070;stn_145;stn_154,16,express
stn_145,Central Junction,zone_1,light_rail,1950-01-29,56267,44.84067,20.5248,0,stn_131;stn_146;stn_155,20,transfer
stn_146,Old Depot,zone_2,metro,1983-03-08,20931,44.85083,20.52182,1,stn_029;stn_147;stn_156,9,direct
stn_147,New Square,zone_3,tram,1972-04-19,40027,44.86433,20.52258,0,stn_148;stn_157;stn_171,21,express
stn_148,Upper Cross,zone_4,bus_terminal,1952-01-24,13443,44.87157,20.52084,0,stn_092;stn_149;stn_158,2,direct
stn_149,Lower End,zone_1,rail,1969-09-18,37680,44.88178,20.52447,1,stn_150;stn_159;stn_170,21,direct
stn_150,River Park,zone_2,light_rail,1996-08-02,83496,44.89143,20.52007,0,stn_083;stn_151;stn_160,10,express
stn_151,Park Station,zone_3,metro,2017-10-21,34670,44.90485,20.52033,0,stn_152;stn_161;stn_166,7,express
stn_152,Market Terminal,zone_4,tram,1962-05-30,14489,44.91208,20.52197,1,stn_116;stn_153;stn_162,6,direct
stn_153,Harbor Stop,zone_1,bus_terminal,1978-03-22,74217,44.92128,20.52346,1,stn_116;stn_154;stn_163,7,express
stn_154,Airport Hub,zone_2,rail,2008-04-08,30611,44.93432,20.52061,0,stn_061;stn_155;stn_164,4,direct
stn_155,Stadium Junction,zone_3,light_rail,1959-06-15,9539,44.94103,20.52167,0,stn_082;stn_156;stn_165,8,direct
stn_156,University Depot,zone_4,metro,2010-10-21,12735,44.95485,20.52173,0,stn_033;stn_157;stn_166,14,express
stn_157,Hill Square,zone_1,tram,1967-01-08,78435,44.96257,20.52062,1,stn_085;stn_158;stn_167,16,express
stn_158,Bridge Cross,zone_2,bus_terminal,1986-12-15,62024,44.97344,20.52194,0,stn_159;stn_168;stn_179,12,transfer
stn_159,Square End,zone_3,rail,1982-11-21,75184,44.98207,20.52089,1,stn_160;stn_169;stn_199,14,direct
stn_160,Gate Park,zone_4,light_rail,2020-02-19,91314,44.99188,20.52273,0,stn_059;stn_161;stn_170,8,transfer
stn_161,North Station,zone_1,metro,1955-12-04,47083,44.80328,20.53357,0,stn_162;stn_167;stn_171,14,express
stn_162,South Terminal,zone_2,tram,2006-02-11,44383,44.81178,20.5329,1,stn_068;stn_163;stn_172,7,express
stn_163,East Stop,zone_3,bus_terminal,2016-11-29,68504,44.82194,20.53079,0,stn_164;stn_173;stn_193,14,transfer
stn_164,West Hub,zone_4,rail,2014-08-20,52979,44.83406,20.5343,0,stn_050;stn_165;stn_174,22,direct
stn_165,Central Junction,zone_1,light_rail,2004-06-10,94969,44.84103,20.53334,1,stn_081;stn_166;stn_175,24,express
stn_166,Old Depot,zone_2,metro,1986-10-11,64917,44.85336,20.53433,1,stn_099;stn_167;stn_176,7,direct
stn_167,New Square,zone_3,tram,2000-10-24,10268,44.86431,20.53224,1,stn_046;stn_168;stn_177,13,express
stn_168,Upper Cross,zone_4,bus_terminal,1950-08-24,48852,44.87413,20.53412,1,stn_088;stn_169;stn_178,16,transfer
stn_169,Lower End,zone_1,rail,1974-08-29,24588,44.88187,20.53144,1,stn_137;stn_170;stn_179,21,transfer
stn_170,River Park,zone_2,light_rail,2019-02-19,35194,44.89411,20.53022,0,stn_088;stn_171;stn_180,18,express
stn_171,Park Station,zone_3,metro,2018-02-04,20063,44.90483,20.53377,1,stn_120;stn_172;stn_181,6,direct
stn_172,Market Terminal,zone_4,tram,1976-04-18,77729,44.91183,20.53239,0,stn_167;stn_173;stn_182,8,transfer
stn_173,Harbor Stop,zone_1,bus_terminal,2001-06-17,50592,44.92232,20.53176,1,stn_010;stn_174;stn_183,12,direct
stn_174,Airport Hub,zone_2,rail,1958-10-26,3374,44.93474,20.53483,0,stn_119;stn_175;stn_184,5,transfer
stn_175,Stadium Junction,zone_3,light_rail,2021-02-19,9958,44.94423,20.53005,0,stn_101;stn_176;stn_185,25,direct
stn_176,University Depot,zone_4,metro,1987-03-08,32005,44.95086,20.53102,0,stn_096;stn_177;stn_186,9,express
stn_177,Hill Square,zone_1,tram,2013-01-30,44201,44.96053,20.53396,0,stn_178;stn_181;stn_187,20,express
stn_178,Bridge Cross,zone_2,bus_terminal,1960-10-04,56232,44.97291,20.53449,0,stn_101;stn_179;stn_188,3,direct
stn_179,Square End,zone_3,rail,1990-01-15,39320,44.98032,20.53314,1,stn_145;stn_180;stn_189,8,express
stn_180,Gate Park,zone_4,light_rail,1972-11-24,27606,44.99452,20.5324,0,stn_031;stn_181;stn_190,10,direct
stn_181,North Station,zone_1,metro,1992-01-08,5624,44.80429,20.54366,1,stn_153;stn_182;stn_191,21,direct
stn_182,South Terminal,zone_2,tram,1965-03-14,48682,44.81249,20.54421,0,stn_126;stn_183;stn_192,20,transfer
stn_183,East Stop,zone_3,bus_terminal,2004-01-14,34843,44.82436,20.54264,1,stn_012;stn_184;stn_193,19,express
stn_184,West Hub,zone_4,rail,2015-08-22,42320,44.83428,20.54188,1,stn_031;stn_185;stn_194,7,express
stn_185,Central Junction,zone_1,light_rail,2006-09-12,73222,44.84016,20.54245,1,stn_025;stn_186;stn_195,25,transfer
stn_186,Old Depot,zone_2,metro,2022-04-26,71285,44.85428,20.5438,1,stn_135;stn_187;stn_196,17,transfer
stn_187,New Square,zone_3,tram,1980-12-16,56779,44.86307,20.54102,0,stn_142;stn_188;stn_197,12,transfer
stn_188,Upper Cross,zone_4,bus_terminal,2018-04-30,63697,44.87203,20.54444,0,stn_179;stn_189;stn_198,3,express
stn_189,Lower End,zone_1,rail,2017-07-02,93565,44.88166,20.54436,1,stn_128;stn_190;stn_199,21,transfer
stn_190,River Park,zone_2,light_rail,1956-11-03,81811,44.89212,20.54276,1,stn_025;stn_191;stn_200,5,express
stn_191,Park Station,zone_3,metro,2016-01-09,32350,44.90334,20.5434,0,stn_060;stn_192,23,direct
stn_192,Market Terminal,zone_4,tram,1999-08-29,58435,44.9101,20.54231,0,stn_012;stn_193,4,express
stn_193,Harbor Stop,zone_1,bus_terminal,1950-05-03,2365,44.92054,20.5445,0,stn_024;stn_194,3,transfer
stn_194,Airport Hub,zone_2,rail,1995-05-23,17256,44.93148,20.54149,1,stn_162;stn_195,20,express
stn_195,Stadium Junction,zone_3,light_rail,2012-01-03,59064,44.9405,20.54194,0,stn_117;stn_196,14,direct
stn_196,University Depot,zone_4,metro,1951-02-09,64472,44.95137,20.54317,1,stn_023;stn_197,3,express
stn_197,Hill Square,zone_1,tram,1996-10-15,24937,44.96071,20.54052,1,stn_118;stn_198,22,transfer
stn_198,Bridge Cross,zone_2,bus_terminal,1998-12-08,69805,44.97014,20.54135,0,stn_110;stn_199,14,transfer
stn_199,Square End,zone_3,rail,1974-12-03,42774,44.98317,20.54311,1,stn_139;stn_200,20,direct
stn_200,Gate Park,zone_4,light_rail,1970-05-14,28226,44.99142,20.54113,1,stn_071,11,transfer
